type,jan_quit,feb_quit,mar_quit,apr_quit,may_quit,jun_quit,jul_quit,aug_quit,sep_quit,oct_quit,nov_quit,dec_quit,total_quit,jan_m,feb_m,mar_m,apr_m,may_m,jun_m,jul_m,aug_m,sep_m,oct_m,nov_m,dec_m,total_m
การเพาะเห็ด,1,0,0,0,0,1,0,0,1,0,1,0,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.8,0.0,4.8
การปลูกพืชผักอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,1,1,1,0,1,2,3,1,2,2,3,17,0.0,2.0,1.0,1.0,0.0,0.1,3.0,3.0,2.9,2.1,2.0,3.0,20.1
การปลูกอ้อย,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
การปลูกยาสูบ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การปลูกฝ้าย,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การปลูกพืชเส้นใยอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การปลูกข้าวโพดเลี้ยงสัตว์,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การปลูกพืชล้มลุกที่ใช้เป็นอาหารสัตว์ (ยกเว้นข้าวโพด เลี้ยงสัตว์),0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
การปลูกกล้วยไม้,0,0,1,1,1,0,0,0,0,0,0,0,3,0.0,0.0,0.03,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.03
การปลูกไม้ดอกอื่นๆ (ยกเว้นกล้วยไม้),0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
การปลูกพืชล้มลุกชนิดอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การทำสวนองุ่น,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การปลูกสับปะรด,0,2,0,0,0,0,0,0,0,0,0,0,2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
การปลูกทุเรียน,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การปลูกลำไย,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การปลูกมะม่วง,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การปลูกกล้วย,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การปลูกมังคุด,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การปลูกเงาะ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การปลูกไม้ผลเมืองร้อนและกึ่งร้อนอื่นๆซึ่งมิได้จัดประเภท ไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การปลูกส้ม,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การปลูกไม้ผลตระกูลส้มอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การปลูกไม้ผลเมืองหนาวอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การปลูกไม้ผลเปลือกแข็งที่กินได้,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การปลูกไม้ผลที่มีต้นเป็นพุ่ม,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การปลูกไม้ผลยืนต้นอื่นๆซึ่งมิได้จัดประเภทไว้ในทื่อื่น,0,0,1,0,0,0,1,0,1,0,0,0,3,0.0,0.0,0.5,0.0,0.0,0.0,3.0,0.0,0.05,0.0,0.0,0.0,3.55
การปลูกปาล์มน้ำมัน,0,0,0,0,0,1,0,0,2,1,1,0,5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,5.0,16.0,0.0,25.0
การปลูกมะพร้าว,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การปลูกไม้ยืนต้นอื่นๆที่ให้น้ำมันซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การทำไร่ชา,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การทำไร่กาแฟ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การปลูกพืชอื่นๆที่นำไปทำเครื่องดื่มซึ่งมิได้จัดประเภทไว้ในที่อื่น,1,0,0,0,0,0,0,0,1,1,0,0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,1.0,0.0,0.0,2.015
การปลูกพืชประเภทเครื่องเทศเครื่องหอมยารักษาโรคและพืชทางเภสัชภัณฑ์,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การปลูกพริก,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การปลูกพริกไทย,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
การปลูกพืชอื่นๆประเภทเครื่องเทศเครื่องหอมยารักษาโรค และพืชทางเภสัชภัณฑ์ซึ่งมิได้จัดประเภทไว้ในที่อื่น,8,5,5,5,8,5,6,10,9,12,13,26,112,19.65,11.0,7.5,11.042,16.0,7.0,12.0,22.0,17.5,34.653,24.7,95.4,278.445
การปลูกต้นยางพารา,0,0,0,0,0,0,0,0,1,0,0,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,5.0,5.02
การปลูกพืชที่ใช้ในการถักสาน,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การปลูกพืชยืนต้นประเภทอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,1,1,0,0,0,0,0,0,0,2,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
การทำสวนไม้ประดับ,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
การปลูกพืชการเพาะพันธุ์และการขยายพันธุ์พืชอื่นๆ,0,1,0,0,2,0,2,0,1,1,1,3,11,0.0,2.0,0.0,0.0,1.3,0.0,5.1,0.0,1.0,1.0,3.0,6.1,19.5
การเลี้ยงโคและกระบือ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การเลี้ยงโคนมและโคเนื้อ,3,0,0,0,0,1,0,0,1,0,0,2,7,2.3,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.6,8.3
การเลี้ยงกระบือนมและกระบือเนื้อ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การเลี้ยงโคและกระบือเพื่อวัตถุประสงค์อื่นๆซึ่งมิได้จัดประเภท ไว้ในที่อื่น,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
การเลี้ยงม้าลาล่อม้าล่อและสัตว์อื่นๆที่คล้ายม้า,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การเลี้ยงอูฐที่มีโหนกเดียวและอูฐที่มีสองโหนก,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การเลี้ยงแกะ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การเลี้ยงแพะ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การเลี้ยงสุกร,1,3,4,1,0,1,4,2,1,6,3,9,35,0.1,11.0,11.5,1.0,0.0,5.0,12.0,8.0,1.0,20.0,33.45,12.3,115.35
การเลี้ยงสัตว์ปีก,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การเลี้ยงไก่ไข่,0,0,0,0,1,3,0,1,0,0,0,5,10,0.0,0.0,0.0,0.0,2.0,11.0,0.0,1.0,0.0,0.0,0.0,15.0,29.0
การเลี้ยงไก่เนื้อ,2,0,1,0,0,0,0,2,0,0,0,2,7,5.5,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,33.0,46.5
การเลี้ยงเป็ด,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
การเลี้ยงสัตว์ปีกอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,1,0,0,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,5.0
การเลี้ยงสัตว์ประเภทอื่นๆ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การเลี้ยงนกกระจอกเทศและนกอีมู,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การเลี้ยงไหมผีเสื้อและแมลง,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
การเลี้ยงผึ้ง,0,0,1,0,0,0,1,0,0,0,0,0,2,0.0,0.0,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.01
การเลี้ยงนกนางแอ่น,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การทำฟาร์มงู,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การทำฟาร์มสัตว์เลี้ยง (ยกเว้นสัตว์น้ำ),0,0,0,0,0,1,0,0,1,1,0,0,3,0.0,0.0,0.0,0.0,0.0,5.3725,0.0,0.0,1.0,1.0,0.0,0.0,7.3725
การเลี้ยงสัตว์ประเภทอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,3,1,0,1,1,0,2,2,2,3,2,4,21,6.0,2.0,0.0,1.0,1.0,0.0,6.0,7.0,1.1,4.0,3.0,3.1,34.2
การทำฟาร์มผสมผสาน,1,0,0,0,1,0,0,1,0,0,0,1,4,0.03,0.0,0.0,0.0,2.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,23.03
กิจกรรมสนับสนุนการเกษตรและกิจกรรมหลังการเก็บเกี่ยว,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การควบคุมแมลงและสัตว์ศัตรูพืช,0,0,0,0,1,0,1,0,1,0,2,1,6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2,0.0,2.0,0.3,4.5
การดำเนินการเกี่ยวกับอุปกรณ์การให้น้ำและเครื่องมือชลประทาน ทางการเกษตร,0,0,0,1,0,0,0,0,0,0,0,1,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
กิจกรรมสนับสนุนการผลิตพืชผลซึ่งมิได้จัดประเภทไว้ในที่อื่น,3,5,3,0,2,0,0,1,4,0,1,8,27,1.2,5.95,2.1,0.0,78.0,0.0,0.0,1.0,4.0,0.0,1.0,12.98,106.23
กิจกรรมสนับสนุนการแพร่พันธุ์สัตว์,0,0,0,0,0,0,0,0,1,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,11.0
กิจกรรมสนับสนุนการเลี้ยงสัตว์อื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
กิจกรรมหลังการเก็บเกี่ยวพืชผล,0,0,0,0,0,1,0,0,0,1,1,2,5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,1.0,3.891733,14.891733
กระบวนการจัดการเมล็ดพันธุ์เพื่อการขยายพันธุ์,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การล่าสัตว์การดักสัตว์และกิจกรรมบริการอื่นๆที่เกี่ยวข้อง,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
วนวัฒนวิทยาและกิจกรรมอื่นๆที่เกี่ยวกับป่าไม้,0,0,0,0,1,0,1,1,0,0,0,0,3,0.0,0.0,0.0,0.0,0.5,0.0,5.0,1.0,0.0,0.0,0.0,0.0,6.5
การทำไม้,0,0,0,1,0,0,0,5,0,1,0,1,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.5,0.0,1.2,0.0,0.15,36.85
การเก็บหาของป่า,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
บริการสนับสนุนการป่าไม้,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
การประมงทะเล,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การจับปลาทะเล,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
การจับกุ้งทะเล,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การจับปูทะเล,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การจับหอยทะเล,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การประมงทะเลอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1
การจับปลาน้ำจืด,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การจับกุ้งน้ำจืด,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การประมงน้ำจืดอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การเพาะเลี้ยงสัตว์น้ำทะเล,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การเพาะเลี้ยงปลาทะเล,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การเพาะเลี้ยงกุ้งทะเล,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
การเพาะเลี้ยงหอยทะเล,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การเพาะเลี้ยงสัตว์ทะเลสวยงาม,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การเพาะเลี้ยงสัตว์น้ำทะเลอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,1,0,0,0,0,1,0,0,0,0,2,0.0,0.0,3.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.5
การเพาะเลี้ยงปลาน้ำจืด,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
การเพาะเลี้ยงกุ้งน้ำจืด,0,0,0,0,0,0,0,0,2,0,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,1.0,2.03
การเพาะเลี้ยงกบ,0,1,0,0,0,0,0,0,1,0,0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,1.05
การเพาะเลี้ยงจระเข้,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
การเพาะเลี้ยงสัตว์น้ำจืดสวยงาม,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การเพาะเลี้ยงสัตว์น้ำจืดอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การทำเหมืองถ่านหินคุณภาพสูง,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การทำเหมืองลิกไนต์,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
การผลิตน้ำมันดิบและก๊าซธรรมชาติ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การผลิตน้ำมันดิบ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การผลิตก๊าซธรรมชาติ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การทำเหมืองสินแร่เหล็ก,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การทำเหมืองสินแร่ยูเรเนียมและทอเรียม,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การทำเหมืองสินแร่ดีบุก,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การทำเหมืองสินแร่สังกะสี,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การทำเหมืองสินแร่โลหะนอกกลุ่มสินแร่เหล็กอื่น ๆ ซึ่งมิได้จัด ประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การทำเหมืองสินแร่โลหะมีค่า,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
การทำเหมืองแร่และเหมืองหินอื่นๆ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การทำเหมืองหินที่ใช้ในการก่อสร้าง,1,0,0,0,0,0,0,0,0,1,0,2,4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,17.5,21.0
การทำเหมืองหินปูนยิปซัมชอล์กและโดโลไมต์,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การขุดกรวดและทราย,0,1,0,0,0,0,3,0,1,2,1,4,12,0.0,3.0,0.0,0.0,0.0,0.0,6.6,0.0,2.25,2.0,1.0,11.0,25.85
การทำเหมืองดิน,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การทำเหมืองแร่และเหมืองหินซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
