name,objective,place_t,plcae_e,place,post_num
หจ.ทริปเปิลเอ ดีลบล็อค,ประกอบกิจการให้บริการโครงข่ายการสื่อสาร,ต.ประชาธิปัตย์,อ.ธัญบุรี,จ.ปทุมธานี,12130
หจ.นลิน ฟู้ดส์,ประกอบกิจการขายปลีกและส่ง ขายออนไลน์ สินค้าแม่และเด็กทุกชนิด เช่น ของเล่นเด็ก เสื้อผ้าเด็ก ของใช้เด็ก,ต.บึงคำพร้อย,อ.ลำลูกกา,จ.ปทุมธานี,12150
หจ.ไอเบบี้ ช้อป,ประกอบกิจการขายปลีกและส่ง ขายออนไลน์ สินค้าแม่และเด็กทุกชนิด เช่น ของเล่นเด็ก เสื้อผ้าเดด็ก ของใช้เด็ก,ต.บึงคำพร้อย,อ.ลำลูกกา,จ.ปทุมธานี,12150
หจ.เด็กดี,ประกอบกิจการจำหน่ายสินค้าแม่และเด็กออนไลน์,ต.บึงคำพร้อย,อ.ลำลูกกา,จ.ปทุมธานี,12150
หจ. แฮปปี้เนส 1981,ประกอบกิจการเสริมความงาม ให้บริการดูแลรักษารูปร่างหน้าตาให้ดูดี สุขภาพดี,ต.ประชาธิปัตย์,อ.ธัญบุรี,จ.ปทุมธานี,12130
หจ.เฮ้าส์ เวลเนส,ประกอบกิจการ คลินิกเสริมความงาม บริการด้านสุขภาพ ความงาม ศัลยกรรมตกแต่งฟื้นฟูร่างกายและสุขภาพ และคลินิกเฉพาะทาง,ต.คลองสาม,อ.คลองหลวง,จ.ปทุมธานี,12120
หจ.เอจี ไฟเบอร์ คัลเลอร์,ประกอบกิจการบริการงานเคลือบผิวและชุบแข็งชิ้นงานโลหะครอบคลุมการทำสีทุกประเภททั้งพ่นสี ชุบสี เคลือบสี พีวีดี โค้ทติ้ง (PVD Coating) การยิงทราย และการเคลือบผิวด้วยเทคโนโลยีต่างๆ สำหรับชิ้นงานเหล็ก สแตนเลส และวัสดุโลหะทุกชนิด,ต.คลองสี่,อ.คลองหลวง,จ.ปทุมธานี,12120
หจ.ทรัพย์คูณทวีก่อสร้าง,รับเหมาก่อสร้าง,ต.บ้านเกาะ,อ.พระนครศรีอยุธยา,จ.พระนครศรีอยุธยา,13000
หจ.พงษ์เทพ เอ็นจิเนียริ่ง ซิสเต็ม,รับเหมาก่อสร้างอาคาร ต่อเติมทั่วไป,ต.หัวรอ,อ.พระนครศรีอยุธยา,จ.พระนครศรีอยุธยา,13000
หจ.ต เจริญร่ำรวย,ประกอบกิจการขนส่งและขนถ่ายสินค้า และคนโดยสารทั้งทางบก ทางน้ำ ทางอากาศ ทั้งภายในประเทศ และ ระหว่างประเทศ รวมทั้งรับบริการนำของออกจากท่าเรือตามพิธีศุลกากร และจัดระวางการขนส่งทุกชนิด,ต.บ้านใหม่,อ.มหาราช,จ.พระนครศรีอยุธยา,13150
หจ.จันทร์มุกดา ก่อสร้าง,ประกอบกิจการรับเหมาก่อสร้าง,ต.ลำตาเสา,อ.วังน้อย,จ.พระนครศรีอยุธยา,13170
หจ.ฟ้าใหม่ทรัพย์เจริญ,ประกอบกิจการบริการด้านการขนส่งสินค้า คลังสินค้า และโลจิสติกส์อย่างครบวงจร ทั้งนี้ จะประกอบกิจการได้ก็ต่อเมื่อได้รับ อนุญาตจากกรมการค้าภายในแล้ว,ต.สามบัณฑิต,อ.อุทัย,จ.พระนครศรีอยุธยา,13210
หจ.ชฎาพร,การขายส่งสินค้าทั่วไป,ต.กกโก,อ.เมืองลพบุรี,จ.ลพบุรี,15000
หจ.สายชล สิงห์บุรี 5589,ประกอบกิจการรับเหมาก่อสร้าง ต่อเติมแก้ไข สิ่งปลูกสร้าง ที่พักอาศัย อาคารพาณิชย์ และงานก่อสร้างทุกชนิด,ต.บางมัญ,อ.เมืองสิงห์บุรี,จ.สิงห์บุรี,16000
หจ.โชคมงคล กรุ๊ป,ประกอบกิจการเตรียมสถานที่ก่อสร้าง,ต.มิตรภาพ,อ.มวกเหล็ก,จ.สระบุรี,18180
หจ.เทวัญ จอมเทียน,ประกอบกิจการโรงแรมและภัตตาคาร,ต.หนองปรือ,อ.บางละมุง,จ.ชลบุรี,20150
หจ.อิ่มเอม 88 กรุ๊ป,ประกอบกิจการร้านอาหาร,ต.หนองปรือ,อ.บางละมุง,จ.ชลบุรี,20150
หจ.เคเอเอ็น ซัพพลาย,ประกอบกิจการบริการจัดหา และขายสินค้าทุกชนิด ตามวัตถุประสงค์ทั้งหมดให้แก่บุคคล คณะบุคคล นิติบุคคลส่วนราชการ และองค์การของรัฐ,ต.ตะเคียนเตี้ย,อ.บางละมุง,จ.ชลบุรี,20150
หจ.เค.พี.ออโต้ เซอร์วิส 2002,ประกอบกิจการอู่ซ่อมรถยนต์ รับซ่อมรถยนต์และยานยนต์ทุกชนิด,ต.สุรศักดิ์,อ.ศรีราชา,จ.ชลบุรี,20110
หจ.นฤชา ทรานสปอร์ต,การขนส่งและขนถ่ายสินค้า รวมถึงคนโดยสาร,ต.มาบยางพร,อ.ปลวกแดง,จ.ระยอง,21140
หจ.เจริญบาร์ระยอง,ประกอบกิจการโรงแรม ภัตตาคาร บาร์ ไนท์คลับ,ต.เชิงเนิน,อ.เมืองระยอง,จ.ระยอง,21000
หจ.บีแอนด์พี เพิ่มพูนทรัพย์,ประกอบกิจการแปรรูปและการถนอมผลไม้และผักด้วยวิธีอื่นๆซึ่งมิได้ จัดประเภท    ไว้ในที่อื่น,ต.หนองตาคง,อ.โป่งน้ำร้อน,จ.จันทบุรี,22140
หจ.เอฟแอนด์พี เปรมทรัพย์ อินเตอร์ฟรุ๊ต,ประกอบกิจการปลูก ผลิต ซื้อ - ขาย ผลไม้ทุกชนิด,ต.พลับพลา,อ.เมืองจันทบุรี,จ.จันทบุรี,22000
หจ.ซี ฮันเตอร์ ทัวร์,ประกอบกิจการนำเที่ยว รวมทั้งธุรกิจที่เกี่ยวข้องกับการนำเที่ยวทุกชนิด,ต.เกาะช้างใต้,อ.เกาะช้าง,จ.ตราด,23170
หจ.ธนกร เอ็นจิเนียริ่ง (2023),การติดตั้งเครื่องจักรอุตสาหกรรมและอุปกรณ์,ต.หนองกี่,อ.กบินทร์บุรี,จ.ปราจีนบุรี,25110
หจ.เทพประสิทธิ์ โยธา,ประกอบกิจการรับเหมาก่อสร้างอาคาร อาคารพาณิชย์ อาคารที่พักอาศัย สถานที่ทำการ ถนน อาคารโรงงาน ขุดลอก,ต.ดงขี้เหล็ก,อ.เมืองปราจีนบุรี,จ.ปราจีนบุรี,25000
หจ.ปราการชล ทรานสปอร์ต,ประกอบกิจการรับเหมาก่อสร้าง,ต.หินตั้ง,อ.เมืองนครนายก,จ.นครนายก,26000
หจ.วงศ์ชนะกิจ การก่อสร้าง,รับเหมาก่อสร้าง,ต.บางปลากด,อ.องครักษ์,จ.นครนายก,26120
หจ.ไชยปราการการช่าง,ประกอบกิจการรับเหมาก่อสร้าง,ต.หนองม่วง,อ.โคกสูง,จ.สระแก้ว,27120
หจ.ฐานิตทรัพย์เจริญ,จำหน่ายสินค้าอุปโภคบริโภคทั่วไปทุกชนิดทุกประเภท,ต.อรัญประเทศ,อ.อรัญประเทศ,จ.สระแก้ว,27120
หจ.แปลงใหญ่จิ้งหรีดหนองแวง,ประกอบกิจการค้าขายจิ้งหรีดและผลิตภัณฑ์จิ้งหรีด บรรจุกระป๋อง แช่แข็ง จำหน่ายพันธุ์จิ้งหรีด,ต.หนองแวง,อ.โคกสูง,จ.สระแก้ว,27120
หจ.บี แอนด์ ที ซัพพลาย แอนด์ เซอร์วิส99,ประกอบกิจการค้ากระดาษ เครื่องเขียน แบบเรียน แบบพิมพ์หนังสือ อุปกรณ์การเรียนการสอน อุปกรณ์การถ่ายและภาพยนต์ เครื่องคำนวณ เครื่องพิมพ์ อุปกรณ์การแพทย์ สิ่งพิมพ์ หนังสือพิมพ์ เครื่องใช้สำนักงาน,ต.วังน้ำเย็น,อ.วังน้ำเย็น,จ.สระแก้ว,27210
หจ.สระแก้ว ออโต้ เคลม,ประกอบกิจการรับจ้าง บริษัทประกันภัย สำรวจตรวจสอบอุบัติเหตุรถยนต์ เป็นตัวแทนหรือตัวกลางในการดำเนินการต่างๆ ระหว่างผู้เอาประกันภัยกับบริษัทประกันภัย ที่เกี่ยวกับด้านประกันภัย รวมทั้งเป็นตัวแทนผู้เอาประกันภัยดำเนินการใดๆ โดยไม่เกี่ยวข้องกับบริษัทประกันภัย (โดยมิใช่ธุรกิจนายหน้าประกันภัย),ต.สระแก้ว,อ.เมืองสระแก้ว,จ.สระแก้ว,27000
หจ.พี เอ็นที. เทคนิค เอ็กซ์เพิร์ท,ประกอบกิจการเกี่ยวกับเหล็ก,ต.ตะเคียน,อ.ด่านขุนทด,จ.นครราชสีมา,30210
หจ.บิ๊กเบลบิ้วดิ้ง,ประกอบกิจการรับเหมาก่อสร้างทุกชนิด,ต.หมื่นไวย,อ.เมืองนครราชสีมา,จ.นครราชสีมา,30000
หจ.เจทีซี ไดมอนส์,ประกอบกิจการเป็นตัวแทน จำหน่ายขายส่งเครื่องสำอาง,ต.ในเมือง,อ.เมืองนครราชสีมา,จ.นครราชสีมา,30000
หจ.ทีมช่างโน ซัพพลาย แอนด์ เอ็นจิเนียริ่ง,ประกอบกิจการรับเหมางานเชื่อมเหล็กทุกประเภท,ต.หนองบัวศาลา,อ.เมืองนครราชสีมา,จ.นครราชสีมา,30000
หจ.ซี.เค.โก. โปรดักส์,ประกอบกิจการค้าวัสดก่อสร้างอุปกรณ์และเครื่องมือเครื่องใช้ในการก่อสร้าง เครื่องมือช่างทุกประเภท,ต.ปากช่อง,อ.ปากช่อง,จ.นครราชสีมา,30130
หจ.ธาราแอร์ โคราช,ประกอบกิจการค้าเครื่องปรับอากาศ รวมทั้งอะไหล่และอุปกรณ์ของสินค้าดังกล่าว,ต.หัวทะเล,อ.เมืองนครราชสีมา,จ.นครราชสีมา,30000
หจ.เคยูเค.กุดม่วง แอร์แอนด์เซอร์วิส,ประกอบกิจการให้บริการซ่อมบำรุง ติดตั้ง เครื่องปรับอากาศ และเครื่องทำความเย็น หรือเครื่องมือ เครื่องจักร,ต.ตะเคียน,อ.ด่านขุนทด,จ.นครราชสีมา,30210
หจ.ช. วีร์เจริญทรัพย์การช่าง,การก่อสร้างอาคารที่พักอาศัย,ต.ด่านช้าง,อ.บัวใหญ่,จ.นครราชสีมา,30120
หจ.หลงมูล,ประกอบกิจการผลิตไวน์และจำหน่ายไวน์,ต.ประสุข,อ.ชุมพวง,จ.นครราชสีมา,30270
หจ.สันติ เค.พี. ปิโตรเลี่ยม,ประกอบกิจการสถานีบริการน้ำมันเชื้อเพลิง,ต.บัวทอง,อ.เมืองบุรีรัมย์,จ.บุรีรัมย์,31000
หจ.ปายแอนด์ปิน999โซล่าช๊อป,ประกอบกิจการจำหน่ายเคมีภัณฑ์ทางการเกษตร เช่น ยาฆ่าแมลง ยาฆ่าหนู ยาฆ่าเชื้อรา,ต.แสลงโทน,อ.ประโคนชัย,จ.บุรีรัมย์,31140
หจ.พลภัทร ซุปเปอร์มาร์ท,ประกอบกิจการร้านสะดวกซื้อ/มินิมาร์ท ร้านขายปลีกขนาดเล็ก โดยส่วนใหญ่จำหน่ายอาหารและเครื่องดื่มประเภทจานด่วนและสินค้าอุปโภคอื่นๆ ที่จำเป็นต่อชีวิตประจำวัน ตั้งอยู่ที่ในเขตชุมชนและมักจะเปิดบริดารตลอด 24 ชั่วโมง,ต.บัวทอง,อ.เมืองบุรีรัมย์,จ.บุรีรัมย์,31000
หจ.ทีม ทีจี เอ็กซ์เพรส,ประกอบกิจการขนรับส่งพัสดุภัณฑ์ เอกสารและสิ่งของทุกชนิด,ต.หนองแวง,อ.บ้านใหม่ไชยพจน์,จ.บุรีรัมย์,31120
หจ.3 พี ออโต้แม็กซ์,ค้าขายยางรถยนต์ ล้อแม็กซ์,ต.บ้านยาง,อ.เมืองบุรีรัมย์,จ.บุรีรัมย์,31000
หจ.ชัยยะกฤตย์ กรุ๊ป,ประกอบกิจการรับเหมาก่อสร้างอาคาร อาคารพาณิชย์ อาคารที่พักอาศัย สถานที่ทำการ ถนน สะพาน,ต.แดงใหญ่,อ.บ้านใหม่ไชยพจน์,จ.บุรีรัมย์,31120
หจ.วีเก็จ เซลล์สโตร์,ประกอบกิจการขายส่งผักและผลไม้,ต.ดอนอะราง,อ.หนองกี่,จ.บุรีรัมย์,31210
หจ.เวลตี้ ลูคราทีฟ เฮ้าส์,ประกอบกิจการให้สินเชื่อเพื่อการอุปโภคบริโภค,ต.แคนดง,อ.แคนดง,จ.บุรีรัมย์,31150
หจ.เทพบุรินทร์ การโยธา,ประกอบกิจการรับเหมาก่อสร้าง,ต.อิสาณ,อ.เมืองบุรีรัมย์,จ.บุรีรัมย์,31000
หจ.พนิดา รุ่งเรืองกิจ,รับเหมาก่อสร้าง,ต.เมืองบัว,อ.ชุมพลบุรี,จ.สุรินทร์,32190
หจ.ช.รุ่งเรืองชัย 99,ประกอบกิจการค้า จำหน่ายไม้ยูคา ไม้นั่งร้าน ไม้เเบบ ไม้ยางนา ไม้อัด ไม้อัดฟิล์มดำ ไม้เมตร,ต.โคกสะอาด,อ.ปราสาท,จ.สุรินทร์,32140
หจ.ชูทรัพย์วัสดุก่อสร้าง,รับเหมาก่อสร้างอาคาร ,ต.เมืองใต้,อ.เมืองศรีสะเกษ,จ.ศรีสะเกษ,33000
หจ.เอ.ซี.ที,รับเหมาก่อสร้าง,ต.ดูน,อ.กันทรารมย์,จ.ศรีสะเกษ,33130
หจ.เพอร์เฟคท์ เอ็กซ์เซลเลนท์ 63,รับเป็นที่ปรึกษาให้ความรู้และให้คำแนะนำด้านการขาย บริหารงานและการพัฒนาคุณภาพบุคลากรขาย,ต.ในเมือง,อ.เมืองอุบลราชธานี,จ.อุบลราชธานี,34000
หจ.รสรินทร์ เครื่องจักรและบริการ,การขนส่งและขนถ่ายสินค้า รวมถึงคนโดยสาร,ต.ขี้เหล็ก,อ.น้ำขุ่น,จ.อุบลราชธานี,34280
หจ.วรพลทวีทรัพย์,การก่อสร้างถนนสะพานและอุโมงค์,ต.สีวิเชียร,อ.น้ำยืน,จ.อุบลราชธานี,34260
หจ.อโนชา ฟู้ด,ประกอบกิจการค้าอาหารสด อาหารแห้ง อาหารสำเร็จรูป เครื่องประป๋อง เครื่องปรุงรสอาหาร เครื่องดื่มและเครื่องบริโภคอื่น,ต.คันไร่,อ.สิรินธร,จ.อุบลราชธานี,34110
หจ.สินวิวัฒน์การช่าง,การรับเหมาก่อสร้าง,ต.ค้อวัง,อ.ค้อวัง,จ.ยโสธร,35160
หจ.นริศราคอนกรีต 789,ประกอบกิจการก่อสร้างอาคาร,ต.ฟ้าหยาด,อ.มหาชนะชัย,จ.ยโสธร,35130
หจ.เจ.ทรัพย์ไพศาล,รับเหมาก่อสร้างถนน,ต.น้ำคำ,อ.ไทยเจริญ,จ.ยโสธร,35120
หจ.ทัศนกิจ,ประกอบกิจการรับเหมาก่อสร้าง,ต.ในเมือง,อ.เมืองยโสธร,จ.ยโสธร,35000
หจ.เคเอชซีเอ็นอินเตอร์เน็ตเคเบิล แอนด์ วายฟายวายแม็กซ์ วินเนอร์เจริญกรุ๊ป,การบริการอินเทอร์เน็ต,ต.วังสะพุง,อ.วังสะพุง,จ.เลย,42130
หจ.พีพี พร็อพเพอร์ตี้8882,ขายเสื้อผ้าเครื่องแต่งกายและเครื่องสำอางทุกชนิด,ต.คอนสวรรค์,อ.คอนสวรรค์,จ.ชัยภูมิ,36140
หจ.สุพรรณษา ฟาร์ม,ประกอบกิจการเลี้ยงสัตว์เพื่อจำหน่าย,ต.หนองไผ่,อ.แก้งคร้อ,จ.ชัยภูมิ,36150
หจ.เค.ยู.ซัพพลาย แอนด์ ทราเวล,ธุรกิจนำเที่ยว ทัศนะศึกษา ศึกษาดูงานทั้งในประเทศและต่างประเทศ,ต.ลำภู,อ.เมืองหนองบัวลำภู,จ.หนองบัวลำภู,39000
หจ.แพรวา วัสดุก่อสร้าง,ประกอบกิจการขายปลีกขายส่งวัสดุก่อสร้างอื่นๆ,ต.ฝั่งแดง,อ.นากลาง,จ.หนองบัวลำภู,39170
หจ.หาญชัยพัฒนา,จำหน่ายปลีกวัสดุก่อสร้าง รับเหมาก่อสร้างอาคาร การ,ต.โนนทอง,อ.หนองเรือ,จ.ขอนแก่น,40210
หจ.เมนทอร์ บิสเนส คอนซัลติ้ง,ที่ปรึกษาทางกฎหมาย,ต.ในเมือง,อ.เมืองขอนแก่น,จ.ขอนแก่น,40000
หจ.นครคาม,รับทำความสะอาด,ต.น้ำพอง,อ.น้ำพอง,จ.ขอนแก่น,40140
หจ.ดับเบิ้ล เค ซัพพลาย กรุ๊ป,การขายส่งสิ่งทอเสื้อผ้ารองเท้าเครื่องหนังและของใช้ในครัวเรือนโดยได้รับค่าตอบแทนหรือตามสัญญาจ้าง,ต.บ้านเป็ด,อ.เมืองขอนแก่น,จ.ขอนแก่น,40000
