name,objective,office,place_t,place_e,place,post_num
หจ.ลาดพร้าววังหิน79,บริการตรวจสภาพรถ การดำเนินการเกี่ยวกับตรวจสภาพรถ ซึ่งได้รับอนุญาตจัดตั้งสถานตรวจสภาพรถจากกรมการขนส่งทางบก  และดำเนินการตรวจสอบตามหลักเกณฑ์ที่กรมการขนส่งทางบกกำหนด,587  ซอย เสือใหญ่อุทิศ,แขวงจันทรเกษม,เขตจตุจักร,กรุงเทพมหานคร,10900
หจ.แอบโซลูตวังหิน,บริการตรวจสภาพรถ การดำเนินการเกี่ยวกับตรวจสอบสภาพรถ ซึ่งได้รับอนุญาตจัดตั้งสถานตรวจสภาพรถจากกรมการขนส่งทางบก และดำเนินการตรวจสอบตามหลักเกฌฑ์ที่กรมการขนส่งทางบกกำหนด,439  ถนนลาดพร้าววังหิน,แขวงลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,10230
หจ.สนาทเช่ สตูดิโอ,ประกอบกิจการพาณิชย์อิเล็กทรอนิกส์ (E-commerce) ในการจำหน่ายสินค้า ได้แก่ เสื้อผ้า เครื่องแต่งกาย ชุดออกกำลังกาย และสินค้าไลฟ์สไตล์ ผ่านช่องทางออนไลน์ทุกประเภท,4/23  ถนนเจ้าคุณทหาร,แขวงลำปลาทิว,เขตลาดกระบัง,กรุงเทพมหานคร,10520
หจ.อยู่เย็นดี,ประกอบกิจการค้า เช่น ยาหม่อง น้ำมันหอม สมุนไพร ต่างๆ และให้บริการทางการค้าผ่านอินเตอร์เน็ต,111/134  ถนนเลียบทางด่วน,แขวงทุ่งครุ,เขตทุ่งครุ,กรุงเทพมหานคร,10140
หจ.ชุลีบุณยา,ประกอบกิจการค้า เครื่องสำอาง อุปกรณ์เครื่องมือและเครื่องใช้เสริมความงาม,25/506   ห้องเลขที่ 3 ซอย รามคำแหง 174,แขวงมีนบุรี,เขตมีนบุรี,กรุงเทพมหานคร,10510
หจ.โปร แอคซิส การบัญชี,ประกอบกิจการรับทำบัญชี จัดทำงบการเงิน ปิดงบการเงินรายเดือน และรายปี,809/160  ถนนลาดพร้าว,แขวงจอมพล,เขตจตุจักร,กรุงเทพมหานคร,10900
หจ.หนวดผลไม้สด,ประกอบกิจการค้าปลีก ค้าส่ง ผลไม้สด ผลไม้ตามฤดูกาล และพืชผลทางการเกษตรทุกชนิด,78/165  ซอย เพชรเกษม 106,แขวงหนองค้างพลู,เขตหนองแขม,กรุงเทพมหานคร,10160
หจ.ไฟท์เตอร์ เกมมิ่ง ออนไลน์,เพื่อประกอบกิจการให้บริการเกมออนไลน์ เกมมือถือ เกมคอมพิวเตอร์ และแพลตฟอร์มดิจิทัลทุกประเภท,822  ถนนสมเด็จพระเจ้าตากสิน,แขวงดาวคะนอง,เขตธนบุรี,กรุงเทพมหานคร,10600
หจ.ศรีวรา ค้าส่ง,ประกอบกิจการจำหน่ายส่งสินค้าอุปโภคบริโภค เครื่องปรุงอาหาร เครื่องดื่ม วัตถุดิบอาหารสด อาหารแห้ง และสินค้าที่เกี่ยวข้อง,432/12  ซอย รามคำแหง 39 (เทพลีลา1),แขวงพลับพลา,เขตวังทองหลาง,กรุงเทพมหานคร,10310
หจ.เชียงแมน เทรดดิ้ง,ประกอบกิจการจำหน่ายปลีกสินค้า วัสดุ อุปกรณ์ และวัตถุดิบที่ใช้ในการประกอบอาหารและเครื่องดื่มทุกชนิด ทั้งช่องทางออนไลน์  และออฟไลน์,432/12  ซอย รามคำแหง 39 (เทพลีลา1),แขวงพลับพลา,เขตวังทองหลาง,กรุงเทพมหานคร,10310
หจ. อ้นฟิตมัม,ขายอุปกรณ์ออกกำลังกาย อุปกรณ์กีฬา และเสื้อผ้า สินค้าเกี่ยวกับ sport ผ่านทางออนไลน์,111/77  หมู่ที่ 3,แขวงคลองถนน,เขตสายไหม,กรุงเทพมหานคร,10220
หจ.มหาบัณฑิตการบัญชี,ประกอบกิจการบริการทางด้านกฎหมาย  ทางบัญชี  ทางวิศวกรรม  ทางสถาปัตยกรรม  รวมทั้งกิจการโฆษณา,10   ห้องเลขที่ 201 ชั้นที่ 2 ซอย รามคำแหง8 (บุญมา) ถนนรามคำแหง,แขวงหัวหมาก,เขตบางกะปิ,กรุงเทพมหานคร,10240
หจ.วาตาชิวะสิชาเดส,เพื่อประกอบธุรกิจด้านการตลาด การสื่อสารโฆษณา ประชาสัมพันธ์สื่อออนไลน์ และ ตัวแทนบริหารจัดการศิลปิน ผู้มีชื่อเสียงทางความคิด,381/8  ซอย ลาดพร้าว87 ถนนลาดพร้าว,แขวงคลองเจ้าคุณสิงห์,เขตวังทองหลาง,กรุงเทพมหานคร,10310
หจ.อู่มนตรีเซอร์วิส 35,ประกอบกิจการซ่อมแซม บำรุงรักษา ตรวจสภาพ เปลี่ยนอะไหล่ พ่นสี ปะผุ ทั้งรถยนต์ เครื่องจักร และยานพาหนะทุกชนิด,813/4  ซอย ศูนย์บันเทิงการค้า,แขวงคลองจั่น,เขตบางกะปิ,กรุงเทพมหานคร,10240
หจ.รจนา โฮลดิ้ง,ประกอบกิจการค้า กระดาษ เครื่องเขียน แบบเรียน แบบพิมพ์ หนังสือ อุปกรณ์การเรียนการสอน อุปกรณ์การถ่ายภาพและภาพยนตร์ เครื่องคำนวณ เครื่องพิมพ์ อุปกรณ์การพิมพ์ สิ่งพิมพ์ หนังสือพิมพ์ ตู้เก็บเอกสาร เครื่องใช้สำนักงาน เครื่องมือสื่อสาร คอมพิวเตอร์ รวมทั้งอุปกรณ์และอะไหล่ของสินค้าดังกล่าว,252/620  ซอย แก้วเงินทอง,แขวงคลองชักพระ,เขตตลิ่งชัน,กรุงเทพมหานคร,10170
หจ.มอลลี่ สตูดิโอ,ประกอบกิจการ การจัดอบรม สัมมนา ด้านดนตรี การขับร้อง การแสดง เต้นรำพิธีกร,270/1  ซอย ลาดพร้าว122 (มหาดไทย1),แขวงพลับพลา,เขตวังทองหลาง,กรุงเทพมหานคร,10310
หจ.วีวีเอ็ม คอนสตรัคชั่น,ประกอบกิจการรับเหมาก่อสร้าง รับออกแบบ ซ่อมแซม แก้ไขปรับปรุง ตกแต่ง    ต่อเติม อาคาร อาคารพาณิชย์ อาคารที่พักอาศัย,196/52  ถนนเพชรเกษม,แขวงวัดท่าพระ,เขตบางกอกใหญ่,กรุงเทพมหานคร,10600
หจ.ณัฐธวัช 20 พารวย,ประกอบกิจการค้า ขายของเบ็ตเตล็ด,337  ซอย วัดภคินีนาถ ถนนราชวิถี,แขวงบางยี่ขัน,เขตบางพลัด,กรุงเทพมหานคร,10700
หจ.พัฒนา หนึ่งเก้า ก่อสร้าง,ประกอบกิจการรับเหมาก่อสร้างอาคาร  อาคารพาณิชย์  อาคารที่พักอาศัย  สถานที่ทำการ  ถนน  สะพาน  เขื่อน  อุโมงค์ และงานก่อสร้างอย่างอื่นทุกชนิด  รวมทั้งรับทำงานโยธาทุกประเภท,98/133  ซอย พหลโยธิน 54/1 ถนนพหลโยธิน,แขวงคลองถนน,เขตสายไหม,กรุงเทพมหานคร,10220
หจ.ออล อิน คลิก,การขายส่งและปลีกทางอินเทอร์เน็ต โดยผู้ซื้อจะตัดสินใจซื้อโดยพิจารณาจากโฆษณาและข้อมูลบนอินเทอร์เน็ต  ได้แก่ การขายสินค้า ประเภทอาหาร เครื่องดื่มและผลิตภัณฑ์ยาสูบ สิ่งทอ เสื้อผ้า รองเท้าและเครื่องหนัง สินค้าทางเภสัชภัณฑ์และทางการแพทย์ เครื่องหอมและ เครื่องสำอาง คอมพิวเตอร์ อุปกรณ์สื่อสารโทรคมนาคมเครื่องใช้ไฟฟ้าและอิเล็กทรอนิกส์ เครื่องใช้อุปโภคและบริโภค เครื่องสำอาง อาหารเสริม สินค้าทางเภสัชภัณฑ์และทางการแพทย์ เครื่องหอม เป็นต้น,106/197  ถนนแจ้งวัฒนะ,แขวงอนุสาวรีย์,เขตบางเขน,กรุงเทพมหานคร,10220
หจ.ศักดิ์สิทธิ์ เฟอร์นิเจอร์ 2026,ประกอบกิจการค้า เฟอร์นิเจอร์ สินค้ามือสองญี่ปุ่น ประเภทโต๊ะ เตียง เก้าอี้ อุปกรณ์สำนักงาน ฯลฯ,337  ซอย วัดภคินีนาถ ถนนราชวิถี,แขวงบางยี่ขัน,เขตบางพลัด,กรุงเทพมหานคร,10700
หจ.99 อินฟินีตี้,ประกอบกิจการจำหน่ายสินค้าและให้บริการผ่านระบบออนไลน์และแพลตฟอร์มอิเล็กทรอนิกส์ (โดยมิใช่ธุรกิจขายตรง),249/79  ซอย พระยาสุเรนทร์ 35,แขวงบางชัน,เขตคลองสามวา,กรุงเทพมหานคร,10510
หจ.วีวี่ มูฟ ซัพพลายเชน,ประกอบกิจการขนส่งและขนถ่ายสินค้า  และคนโดยสารทั้งทางบก  ทางน้ำ  ทางอากาศ  ทั้งภายในประเทศและระหว่างประเทศ รวมทั้งรับบริการนำของออกจากท่าเรือตามพิธีศุลกากรและการจัดระวางการขนส่งทุกชนิด,99/85  หมู่บ้าน ภณาสิริ เรสซิเดนซ์ ซอย ประเสริฐมนูกิจ29 ถนนประเสริฐมนูกิจ,แขวงจรเข้บัว,เขตลาดพร้าว,กรุงเทพมหานคร,10230
หจ.นายโอ นู้ดเดิ้ล 1991,ประกอบกิจการภัตตาคาร ร้านอาหาร ผลิต นำเข้าเพื่อจำหน่าย จำหน่ายเเละกิจการค้าอาหารทุกชนิด รวมถึงอาหารประเภทข้าวกล่อง อาหารเเช่เย็น อาหารเเช่เเข็ง อาหารสด อาหารเเห้ง อาหารสำเร็จรูป อาหารกระป๋อง เครื่องปรุงรส อาหาร เครื่องดื่ม สุรา เบียร์ บุหรี่ ขนมหวาน ไอศกรีม เบเกอรี่ต่าง ๆ เเละเครื่องบริโภคอื่น ๆ,27/62  ซอย อาทรอุปถัมภ์,แขวงบางซื่อ,เขตบางซื่อ,กรุงเทพมหานคร,10800
หจ.อีวี สุขุมวิท50,ประกอบกิจการสถานีอัดประจุไฟฟ้ารถยนต์,322/62  ซอย สายไหม33(หมู่บ้านกรุงทองธานี),แขวงสายไหม,เขตสายไหม,กรุงเทพมหานคร,10220
หจ.ราเกช อิมเป็กซ์ (2026),ประกอบกิจการนำเข้า ส่งออก สินค้าอุปโภค บริโภค (ตามที่ระบุในวัตถุประสงค์ของบริษัท),21  ซอยเฉลิมพระเกียรติ ร.9 ซอย 14,แขวงดอกไม้,เขตประเวศ,กรุงเทพมหานคร,10250
หจ.ลักกี้แฟชั่นเฮ้าส์,ประกอบกิจการประมูลเพื่อขายสินค้า และรับจ้างทำของ ตามวัตถุประสงค์ทั้งหมด ให้แก่บุคคล คณะบุคคล นิติบุคคล ส่วนราชการ และองค์กรของรัฐ,87  ถนนประชาธิปไตย,แขวงบางขุนพรหม,เขตพระนคร,กรุงเทพมหานคร,10200
หจ.วีไอพี พาร์ทเทค,ประกอบกิจการค้า น้ำมันเครื่องยนต์ น้ำมันเครื่องจักร น้ำมันไฮดรอลิค รวมถึงน้ำมันที่ใช้ในการหล่อลื่น ตลอดจนเคมีภัณฑ์ ที่ใ้ในเครื่องจักร เครื่องยนต์ ปืนใหญ่รถถังต่าง ๆ ทางทหาร ทุกชนิด ทุกประเภท,26/218  ซอย 01 กาญจนาภิเษก 6/1 ถนนกาญจนาภิเษก,แขวงท่าแร้ง,เขตบางเขน,กรุงเทพมหานคร,10220
หจ.ชัวร์ ไพรม์ ฟู้ด,ประกอบกิจการจำหน่ายอาหาร เครื่องดื่ม ทุกชนิด,9  อาคารจี ทาวเวอร์ แกรนด์ พระราม 9  ห้องเลขที่ G07 ถนนพระราม 9,แขวงห้วยขวาง,เขตห้วยขวาง,กรุงเทพมหานคร,10310
หจ.สายศรี โลจิสติกส์ ทรานสปอร์ต,ประกอบกิจการขนส่งและขนถ่ายสินค้า  และคนโดยสารทั้งทางบก  ทางน้ำ  ทางอากาศ  ทั้งภายในประเทศและระหว่างประเทศ รวมทั้งรับบริการนำของออกจากท่าเรือตามพิธีศุลกากรและการจัดระวางการขนส่งทุกชนิด,27/3  ซอย เอกชัย 132,แขวงบางบอนเหนือ,เขตบางบอน,กรุงเทพมหานคร,10150
หจ.ปิยวราทิพย์,ประกอบกิจการ จำหน่าย ขายส่ง ขายปลีก นำเข้า ส่งออก ถุงบิ๊กแบ็ค ถุงอุตสาหกรรม,166  ซอย ศุภฤกษ์,แขวงสามเสนนอก,เขตห้วยขวาง,กรุงเทพมหานคร,10310
หจ.เอสวีเอ็ม ออดิท,ประกอบกิจการให้บริการด้านการตรวจสอบบัญชี,338/239  ซอยลาดพร้าว 87 (จันทราสุข),แขวงคลองเจ้าคุณสิงห์,เขตวังทองหลาง,กรุงเทพมหานคร,10310
หจ.มหานคร เอไอ,ประกอบธุรกิจเกี่ยวกับการติดตั้งกล้องเอไอ เพื่อตรวจจับบุคคลตามเป้าหมาย,1/38  หมู่บ้าน แฮปปี้แลนด์ แกรนด์วิลล์ ซอย ลาดพร้าว 101 ซอย 53,แขวงคลองจั่น,เขตบางกะปิ,กรุงเทพมหานคร,10240
หจ.เบอร์มิวด้า อีเว้นท์,ให้บริการถ่ายทอดสด การแข่งขัน สตรีมเมอร์ บนแพลตฟอร์มทางออนไลน์,272/1  ซอย ลาดพร้าว 63 (สุขสันต์3),แขวงสะพานสอง,เขตวังทองหลาง,กรุงเทพมหานคร,10310
หจ.ลองจด,ประกอบกิจการคัดสรร จัดหา และคัดเกรดเมล็ดกาแฟดิบ (Green Bean Sourcing) ทั้งจากภายในประเทศและต่างประเทศ รวมถึงการประกอบกิจการโรงคั่วกาแฟเพื่อการผลิต แปรรูป บด และปรุงแต่งกาแฟทุกประเภท อาทิ เมล็ดกาแฟคั่ว กาแฟบด กาแฟสำเร็จรูป และผลิตภัณฑ์อาหารจากกาแฟทุกชนิด ตลอดจนการศึกษาวิจัยและพัฒนาสูตรการคั่วกาแฟ (Coffee Roasting Profile) และรสสัมผัส (Sensory) เพื่อการจำหน่ายทั้งปลีกและส่ง ผ่านช่องทางปกติและระบบพาณิชย์อิเล็กทรอนิกส์ (E-Commerce),95  ซอย ประชาอุทิศ 127,แขวงทุ่งครุ,เขตทุ่งครุ,กรุงเทพมหานคร,10140
หจ.ซุปเปอร์ โค้ช แพลตฟอร์ม,เพื่อพัฒนา ออกแบบ ให้บริการ และบริหารจัดการแพลตฟอร์มดิจิทัลด้านการโค้ช การให้คำปรึกษา การพัฒนา ศักยภาพบุคคล ผู้นำ ทีมงาน และองค์กร,120/396-397  ซอย ราชปรารภ 5 ถนนราชปรารภ,แขวงถนนพญาไท,เขตราชเทวี,กรุงเทพมหานคร,10400
หจ.อีเอฟ ซีพีเอ ช๊อป,ประกอบกิจการจำหน่ายไอเท็มเกมส์ และเติมเงินในเกมส์ออนไลน์,197  ซอย จุฬา 50,แขวงวังใหม่,เขตปทุมวัน,กรุงเทพมหานคร,10330
หจ.วีเวิร์ค ทีม,ประกอบธุรกิจบริการรับเป็นผู้จัดการและดูแลผลประโยชน์ เก็บผลประโยชน์ และจัดการทรัพย์สินให้บุคคลอื่น,5/5  ซอย เลียบวารี 11,แขวงโคกแฝด,เขตหนองจอก,กรุงเทพมหานคร,10530
หจ.เค.วัน ออโต้ พาร์ท,ประกอบกิจการการค้า อะไหล์รถยนต์ อุปกรณ์เสริม รถยนต์ เครื่องยนต์ เครื่องมือกล เครื่องจักร และอุปกรณ์การช่างทุกชนิด,17  ซอย เพชรเกษม 110 แยก 6 ถนนเพชรเกษม,แขวงหนองค้างพลู,เขตหนองแขม,กรุงเทพมหานคร,10160
หจ.เออร์เบิน เอสเซนเชียลส์,ประกอบกิจการนำเข้า ส่งออก สินค้าอุปโภค และบริโภค ทุกประเภท เช่น ของใช้อำนวยความสะดวกทุกชนิด,4  ซอย สุขาภิบาล 5 ซอย 5 แยก 1,แขวงท่าแร้ง,เขตบางเขน,กรุงเทพมหานคร,10220
หจ.บุญรักษา อมูเลท,ประกอบกิจการจำหน่าย จัดหา จัดสร้าง รับเช่า ให้เช่า บูชา เป็นตัวแทนจำหน่าย นายหน้า ตัวแทนค้าต่างในการซื้อ ขาย แลกเปลี่ยน นำเข้า และส่งออก ซึ่งเครื่องรางของขลัง วัตถุมงคล พระเครื่อง พระบูชา เครื่องประดับเสริมดวง และสิ่งมงคลทุกชนิด ทั้งในประเทศและต่างประเทศ,4/207  หมู่ที่ 7,แขวงลำผักชี,เขตหนองจอก,กรุงเทพมหานคร,10530
หจ.บี บิซ โก เซ็นเตอร์,กิจกรรมเกี่ยวกับบัญชีการทำบัญชีและการตรวจสอบบัญชี การให้คำปรึกษาด้านภาษี,24/3  ซอย ท่าข้าม 14,แขวงแสมดำ,เขตบางขุนเทียน,กรุงเทพมหานคร,10150
หจ.แคทคูล แอร์ เซอร์วิส,ประกอบกิจการให้บริการล้าง ซ่อม ติดตั้ง และบำรุงรักษาเครื่องปรับอากาศทุกชนิด,90/141  หมู่บ้าน Pleno พระราม9 กรุงเทพกรีฑา2 ซอย กาญจนาภิเษก25แยก1,แขวงทับช้าง,เขตสะพานสูง,กรุงเทพมหานคร,10250
หจ.บี แอนด์ ดี คอโปเรท,ประกอบกิจการค้า กระดาษ เครื่องเขียน แบบเรียน แบบพิมพ์ หนังสือ อุปกรณ์การเรียนการสอน อุปกรณ์การถ่ายภาพและภาพยนตร์ เครื่องคำนวณ เครื่องพิมพ์ อุปกรณ์การพิมพ์ สิ่งพิมพ์ หนังสือพิมพ์ ตู้เก็บเอกสาร เครื่องใช้สำนักงาน เครื่องมือสื่อสาร คอมพิวเตอร์ รวมทั้งอุปกรณ์และอะไหล่ของสินค้าดังกล่าว,70/108  ซอย ซอย นวมินทร์81,แขวงนวมินทร์,เขตบึงกุ่ม,กรุงเทพมหานคร,10240
หจ.ฟูลแสต็ก ฟอร์จ,ประกอบกิจการรับจ้างออกแบบ พัฒนา และเขียนโปรแกรมคอมพิวเตอร์ (Software Development) ทุกประเภท รวมถึงซอฟต์แวร์ประยุกต์และซอฟต์แวร์ระบบ,23/45  หมู่บ้าน วิเศษสุข ซอย ประชาอุทิศ 81,แขวงทุ่งครุ,เขตทุ่งครุ,กรุงเทพมหานคร,10140
หจ. จันทร์วิชญะ เอ็นจิเนียริ่ง,งานติดตั้งและบริการ รับเหมาติดตั้ง ซ่อมบำรุง งานระบบไฟฟ้าภายในอาคารและภายนอกอาคาร รบบสายไฟฟ้าแรงดันสูง   และระบบไฟฟ้าแรงดันต่ำ ให้แก่บุคคล นิติบุคคล ส่วนราชการ และองค์กรของรัฐ,314/290  ซอย ราษฏร์อุทิศ 48,แขวงแสนแสบ,เขตมีนบุรี,กรุงเทพมหานคร,10510
หจ.สิริทรัพย์ ทรานสปอร์ต,ประกอบกิจการรถรับจ้างไม่ประจำทาง ทั้งรถตู้ รถบัส และรถยนต์โดยสารทุกชนิด,104  ซอย สิทธิปัญญา,แขวงสามเสนนอก,เขตห้วยขวาง,กรุงเทพมหานคร,10310
หจ.แอดวานซ์ เมเนจเมนท์ แอนด์ คอนซัลติ้ง,ประกอบธุรกิจบริการรับเป็นที่ปรึกษาและให้คำแนะนำปัญหาเกี่ยวกับด้านบริหารงานพาณิชยกรรม  อุตสาหกรรม  รวมทั้งปัญหา การผลิต การตลาดและจัดจำหน่าย,267/77  ถนนราษฎร์พัฒนา,แขวงราษฎร์พัฒนา,เขตสะพานสูง,กรุงเทพมหานคร,10240
หจ.เอ็นพี มีแซ่บ,ประกอบกิจการขายอาหารอีสาน,412  ซอย จุฬา 1,แขวงวังใหม่,เขตปทุมวัน,กรุงเทพมหานคร,10330
หจ.ใจดีฟู๊ดโซลูชั่น,ประกอบกิจการค้าสัตว์มีชีวิต เนื้อสัตว์ชำแหละ เนื้อสัตว์แช่แข็ง และเนื้อสัตว์บรรจุกระป๋อง,36/9  ชั้นที่ ชั้น1 ซอย ประดิพัทธ์10 ถนนประดิพัทธ์,แขวงพญาไท,เขตพญาไท,กรุงเทพมหานคร,10400
หจ.สยามเพอร์เฟควัน,ประกอบกิจการผลิต นำเข้า ส่งออก และจำหน่ายเครื่องสำอางทุกประเภท,16  ซอย ริมคลองหัวกระบือ,แขวงท่าข้าม,เขตบางขุนเทียน,กรุงเทพมหานคร,10150
หจ.ยศตา มาร์เก็ตติ้ง,ประกอบกิจการประมูลเพื่อรับจ้างทำของ  ตามวัตถุที่ประสงค์ทั้งหมด  ให้แก่บุคคล  คณะบุคคล  นิติบุคคล  ส่วนราชการ และองค์การของรัฐ,66/4  ซอย ลาดพร้าว 110 แยก 3 ถนนลาดพร้าว,แขวงพลับพลา,เขตวังทองหลาง,กรุงเทพมหานคร,10310
หจ.โทโปน คอนซัลติ้ง,ประกอบกิจการให้บริการ โอนเงิน ภายในประเทศและต่างประเทศรวมถึงรับชำรับหนี้ ค่าบริการต่างๆแทนลูกค้า,290/335  หมู่บ้าน ศุภาลัย ร่มเกล้า-สุวรรณภูมิ ถนนร่มเกล้า,แขวงมีนบุรี,เขตมีนบุรี,กรุงเทพมหานคร,10510
หจ.บุณยศิริศรี,ประกอบกิจการค้า เครื่องสำอาง อุปกรณ์เครื่องมือและเครื่องใช้เสริมความงาม,25/506   ห้องเลขที่ 9 ซอย รามคำแหง 174,แขวงมีนบุรี,เขตมีนบุรี,กรุงเทพมหานคร,10510
หจ.บูโทเปีย ,ประกอบกิจการรับจ้างผลิตจัดหาให้เช่าอุปกรณ์ตกแต่งอาคารและสถานที่,77/282  ซอย รามอินทรา  8 แยก 2,แขวงอนุสาวรีย์,เขตบางเขน,กรุงเทพมหานคร,10220
หจ.แซน ดี เอ็กซ์,นำเข้า และจำหน่ายเสื้อผ้า ทั้งปลีกและส่ง,98/41  ซอย พหลโยธิน 54/1,แขวงคลองถนน,เขตสายไหม,กรุงเทพมหานคร,10220
หจ.ดื่มดีมีเฮง  ,ประกอบกิจการ บริการ ร้านอาหาร บาร์ แสดงดนตรี จำหน่ายอาหารและเครื่องดื่ม เครื่องดื่มที่มีแอลกอฮอล์,258  ถนนพุทธบูชา,แขวงบางมด,เขตทุ่งครุ,กรุงเทพมหานคร,10140
หจ.คเณชา มหาลาภ,ประกอบกิจการร้านจำหน่ายอาหารปรุงสำเร็จ อาหารพร้อมบริโภค,50  ซอย หัวหมาก 27,แขวงหัวหมาก,เขตบางกะปิ,กรุงเทพมหานคร,10240
หจ.มอตโต้โซล่าเอนเนอร์จี้,ประกอบกิจการค้าขาย ซื้อมาขายไป รับเหมา ติดตั่้ง ซ่อมแซ่ม นำเข้าส่งออก สินค้าและอุปกรณ์ ใหม่และใช้แล้ว เกี่ยวกับโซล่าเซลส์ พลังงานโซล่าและอื่นๆที่เกี่ยวข้อง,5/183  ถนนกาญจนาภิเษก,แขวงบางบอนใต้,เขตบางบอน,กรุงเทพมหานคร,10150
